PEG1A,4903774.663,1379576.999,7.386
PEG2-0,4904208.779,1380356.678,7.67
PEG2-1,4904268.11,1380314.29,8.094
PEG3-B,4904837.868,1381092.739,6.767
PEG3-A,4904917.823,1381014.239,8.223
PeG4-B,4905177.691,1381522.786,7.131
PEG4-1,4905248.871,1381486.249,6.875
PEG4-A,4905444.137,1381386.018,6.776
PEG4-A,4905444.137,1381386.018,6.776
PEG5-A,4905482.574,1381897.66,9.715
PEG5-B,4905501.102,1381883.998,7.236
PEG6A,4905985.871,1382446.043,7.435
PEG6B,4905988.458,1382442.382,6.925
PEG7A,4906378.182,1382463.955,8.175
PEG7B,4906396.11,1382433.88,6.747
PEG8-1,4906801.964,1382527.49,8.806
PEG8-0,4906826.338,1382486.607,6.978
PEG9-A,4906921.93,1382834.499,7.104
PEG9-1,4906902.531,1382474.959,8.762
PEG10,4907002.11,1382483.45,10.527
PEG10,4907078.555,1382679.156,7.207
PEG,4907093.123,1382443.344,10.233
PEG11-1,4907091.921,1382442.114,10.263
PEG12-A,4907239.512,1382479.48,7.58
PeG12/2,4907213.953,1382301.262,9.973
PEG13-A,4907460.246,1382791.736,6.914
PEG13-2,4907002.149,1382483.438,8.617
PEG14-A,4907881.914,1382924.14,8.743
PEG_14-1,4907950.336,1382720.588,7.752
PEG_14-B,4907949.286,1382700.968,8.552
PEG15-1,4908562.607,1382910.858,9.039
PEG16-1,4909046.421,1384033.916,9.335
PEG16-D,4909088.433,1383989.289,8.718
PEG16-C,4909242.831,1383825.267,11.251
PEG17-X,4909349.185,1383999.516,11.112
PEG18-2,4909666,1384165.434,8.784
PEG18-X,4909732.819,1384088.806,11.249
PEG19-1,4910136.312,1384646.052,11.375
PEG20-A,4910252.817,1385478.351,9.54
PEG20-2,4910404.499,1385331.547,9.051
PEG21-1,4910603.362,1385139.07,11.534
PEG21-A,4910884.812,1385450.686,8.069
PEG21-1,4910908.663,1385427.875,12.05
PEG22-2,4910912.016,1385851.486,9.709
PEG22-1,4911078.478,1385671.754,12.111
PEG23B,4911604.773,1385797.872,8.872
PEG23A,4911621.042,1385782.506,12.963
PEG24-A,4911658.998,1386200.492,10.743
PEG24-1,4911679.391,1386183.984,12.365
PEG25-A,4911532.233,1386812.589,10.789
PEG25-1,4911844.085,1386707.62,12.488
PeG26/A,4911779.121,1387256.141,8.21
PEG26-1,4911797.253,1387241.422,11.341
PeG26/1,4912008.452,1387070.004,12.547
